"SeqNum","MOSTYP","MRELGE","MSKA","MOSHOO","MSKB1","MOPLHO","MAANTH","MGODRK","MGEMOM","MFALLE","MSKB2","MAUT0","MAUT1","MGEMLE","MAUT2","MGODPR","MINKGE","MSKC","MHHUUR","MFWEKI","PWAPAR","PPERSA","PAANHA","AMOTSC","APERSA","AWAPAR","Resp"
31,8,2,2,6,1,3,3,3,3,2,3,0,5,3,5,7,9,0,0,2,0,0,0,0,0,1,0
32,7,2,2,6,2,4,6,0,3,1,0,0,1,1,6,7,6,3,0,3,0,0,0,0,0,0,0
33,17,4,3,9,1,4,1,2,7,2,6,1,2,4,4,5,7,2,0,3,0,0,0,0,0,1,0
34,22,2,3,10,0,5,4,4,3,1,5,0,3,2,6,6,8,1,0,4,0,0,0,0,0,0,0
35,38,4,3,4,0,4,1,3,6,1,2,0,3,3,1,8,4,5,0,6,0,0,0,0,0,1,0
36,33,3,2,3,2,4,1,4,5,2,2,0,3,1,6,7,6,3,0,7,0,4,0,0,0,1,0
37,32,3,2,3,0,7,0,6,3,2,0,0,7,0,0,7,7,2,0,6,0,0,0,0,0,1,0
38,25,3,3,1,0,7,1,5,3,0,6,2,3,2,3,6,6,3,1,4,0,0,0,0,0,1,0
39,23,3,2,10,0,6,0,0,9,0,6,0,2,5,7,3,6,3,0,5,0,0,0,0,0,1,0
40,17,3,3,9,0,2,0,3,6,0,8,0,1,6,3,6,9,0,1,3,0,0,2,0,0,1,0
41,8,3,3,6,1,5,0,0,9,0,9,1,2,3,9,6,7,2,0,2,0,0,0,0,0,1,0
42,36,3,3,4,2,7,2,3,4,0,4,0,4,0,1,7,7,2,0,6,0,0,0,0,0,2,1
43,33,3,3,3,1,4,2,3,5,2,3,1,3,2,4,6,4,5,1,7,0,0,0,0,0,1,0
44,17,2,4,9,0,5,1,7,2,2,6,3,2,2,6,6,7,2,1,3,0,0,0,0,0,0,0
45,28,3,3,2,2,7,1,3,5,0,5,0,3,2,0,6,5,4,1,6,0,0,0,0,0,1,0
46,22,3,3,10,0,5,3,2,5,1,6,1,2,3,5,5,7,2,1,4,0,0,0,0,0,1,1
47,20,2,4,9,1,5,4,3,3,1,5,0,3,3,5,6,6,3,1,3,0,0,0,0,0,1,0
48,22,4,2,10,0,4,1,1,8,1,5,0,2,0,8,5,8,1,0,4,0,0,0,0,0,1,0
50,17,3,3,9,0,4,2,1,6,0,7,0,3,6,4,5,8,1,0,3,0,0,0,0,0,1,0
51,17,2,4,9,0,2,0,6,3,0,7,0,3,4,9,7,9,0,0,3,0,0,0,0,0,0,0
52,9,2,3,7,0,5,5,3,3,2,4,0,4,2,7,6,8,1,0,1,0,0,0,0,0,1,0
53,4,2,3,6,1,4,2,4,3,1,6,0,3,2,9,7,8,1,1,2,0,0,0,0,0,1,0
54,36,2,4,4,0,7,4,2,4,3,3,2,0,4,1,3,7,2,2,6,0,0,0,0,0,2,0
55,17,3,3,9,0,6,1,3,6,1,7,1,3,3,1,8,8,1,0,3,0,4,0,0,0,1,0
56,23,5,2,10,1,5,0,0,9,0,5,0,6,3,2,6,6,3,0,5,0,0,0,0,0,1,0
57,36,1,2,4,0,5,6,3,1,4,1,0,4,3,8,8,9,0,0,6,0,0,0,0,0,0,0
58,37,3,2,4,0,6,1,2,6,2,4,0,5,2,0,9,5,4,0,7,0,0,0,0,0,1,1
59,19,2,3,9,0,4,1,7,2,0,6,2,4,1,7,8,7,2,0,5,0,0,0,0,0,0,0
60,14,3,3,8,0,4,1,4,5,1,5,1,4,1,2,4,7,2,4,2,0,0,0,0,0,1,0
61,14,2,4,8,0,5,5,4,1,2,3,0,5,2,9,5,5,4,0,2,0,0,0,0,0,0,0
62,20,3,3,9,1,4,2,4,4,1,6,1,2,4,4,5,7,2,1,3,0,0,0,0,0,1,0
64,7,1,1,6,0,2,5,4,0,0,2,0,7,0,9,7,9,0,0,3,0,0,0,0,0,0,0
65,36,1,3,4,4,0,7,2,1,0,2,0,3,0,8,2,7,2,2,6,0,0,0,0,0,1,0
66,17,4,2,9,0,8,0,2,7,2,4,0,4,1,0,7,6,3,0,3,0,0,0,0,0,1,0
67,20,3,3,9,0,6,1,4,4,1,6,1,3,2,5,5,6,3,1,3,0,0,0,0,0,0,0
68,38,3,3,4,0,6,2,4,4,4,2,0,0,2,0,9,4,5,0,6,0,0,0,0,0,1,0
69,20,3,4,9,4,3,3,4,3,0,2,2,4,0,2,6,3,6,0,3,0,0,0,0,0,0,0
70,13,2,5,8,2,2,3,4,2,0,8,0,1,4,9,4,9,0,0,3,0,0,0,0,0,0,0
71,34,3,2,4,0,5,0,4,5,2,2,0,4,0,7,7,6,3,0,4,0,0,0,0,0,0,0
72,9,2,5,7,1,5,4,5,1,1,4,0,4,1,6,7,5,4,1,1,0,0,0,0,0,1,0
73,16,3,4,8,1,5,2,5,3,2,5,1,5,3,4,7,5,4,1,1,0,0,0,0,0,1,0
75,36,3,2,4,1,4,2,3,5,3,0,0,5,1,2,7,5,4,3,6,0,3,0,0,0,1,0
76,28,3,4,2,0,5,2,4,4,0,5,0,3,2,2,6,8,1,0,6,0,0,0,0,0,0,0
77,22,2,3,10,0,4,2,4,3,0,6,1,2,2,8,6,6,3,0,4,0,0,0,0,1,0,0
78,36,2,3,4,0,6,1,8,1,5,0,0,1,4,9,8,4,5,0,6,0,0,0,0,0,1,0
79,28,2,3,2,3,3,0,7,2,4,3,0,1,1,0,9,4,5,0,6,0,0,0,0,0,0,0
80,38,3,3,4,1,4,1,4,5,2,3,0,6,1,1,7,8,1,1,6,0,0,0,0,0,0,0
81,28,2,3,2,0,6,3,3,4,1,5,1,6,1,2,7,7,2,0,6,0,0,0,0,0,1,0
82,28,2,4,2,1,4,0,9,0,0,9,0,2,2,5,6,5,4,0,6,0,0,0,0,0,0,0
83,26,3,3,2,6,0,1,4,5,5,2,0,3,1,0,7,1,8,5,8,0,0,0,0,0,0,0
84,25,3,3,1,0,6,2,3,5,1,6,1,4,2,2,7,7,2,0,4,0,0,0,0,0,1,0
85,7,2,1,6,0,2,2,5,3,1,5,0,4,3,9,4,8,1,0,3,0,0,0,0,0,0,0
86,22,3,3,10,1,5,3,2,4,2,5,0,3,2,5,4,7,2,1,4,0,0,0,0,0,1,0
87,26,3,3,2,1,7,0,5,4,4,5,2,2,2,0,6,3,6,2,8,0,0,0,0,0,1,0
88,23,4,2,10,2,0,0,3,6,2,4,0,3,5,0,9,7,2,0,5,0,0,0,0,0,1,0
89,20,1,2,9,0,6,5,3,2,2,2,0,4,1,9,5,5,4,0,3,0,0,0,0,0,0,0
90,22,2,2,10,0,4,3,4,3,1,8,0,3,6,3,7,8,1,0,4,0,0,0,0,0,1,0
91,34,3,3,4,1,4,0,4,5,0,3,0,4,2,0,6,8,1,3,4,0,0,0,0,0,0,0
92,33,5,3,3,0,5,0,0,8,5,0,0,2,0,0,9,4,5,0,7,0,0,0,0,0,1,0
94,10,1,5,7,0,4,6,2,1,1,7,2,2,4,8,3,9,0,1,1,0,0,0,0,0,1,0
95,23,2,3,10,0,7,2,5,2,2,2,0,3,3,6,7,7,2,2,5,0,0,0,0,0,2,0
96,36,3,3,4,0,8,0,4,5,0,5,2,2,2,3,6,5,4,2,6,0,0,0,0,1,0,0
97,23,2,3,10,0,4,2,4,3,0,9,0,4,5,6,9,9,0,1,5,0,3,0,0,0,1,0
98,34,2,3,4,0,6,5,1,4,5,0,0,5,1,9,8,4,5,0,4,0,0,0,0,0,0,1
99,20,2,4,9,2,4,2,4,3,1,4,0,3,1,2,5,5,4,0,3,0,0,0,0,0,0,1
100,8,2,2,6,3,4,4,3,2,1,5,0,3,1,8,7,6,3,1,2,0,0,0,0,0,1,0
101,17,3,2,9,0,4,0,2,7,1,8,0,2,6,3,6,7,2,1,3,0,0,0,0,0,0,0
102,26,3,4,2,0,6,0,4,5,3,0,0,4,2,0,6,3,6,0,8,0,0,0,0,0,0,0
105,21,3,3,9,2,6,0,3,6,4,4,1,0,2,2,7,5,4,3,4,0,0,0,0,0,0,0
106,8,2,2,6,0,3,3,0,6,0,9,0,0,4,9,5,8,1,0,2,0,0,0,0,0,1,0
107,27,4,2,2,1,4,2,4,4,5,0,4,0,0,4,6,5,4,0,6,0,0,0,0,0,0,0
108,7,2,2,6,3,3,4,2,4,3,2,0,2,2,6,7,2,7,3,4,0,0,0,0,0,1,0
109,21,2,2,9,0,4,4,4,2,0,4,0,7,0,7,7,9,0,0,4,0,0,0,0,0,1,0
110,20,4,3,9,1,4,0,0,9,0,9,0,0,5,9,6,7,2,0,3,0,0,0,0,0,1,0
111,33,4,3,3,2,5,0,2,7,4,2,0,5,2,1,8,6,3,3,7,0,0,0,0,0,0,0
112,7,2,1,6,0,5,3,5,2,0,4,0,4,2,9,5,9,0,0,3,0,0,2,0,0,1,0
113,17,2,3,9,0,7,0,5,4,0,6,0,2,5,0,4,6,3,0,3,0,0,0,0,0,0,0
114,18,4,3,9,2,4,1,3,5,4,0,0,3,0,8,6,0,9,1,6,0,0,0,0,0,0,0
115,17,3,3,9,0,7,1,4,4,0,5,0,4,2,0,7,6,3,0,3,0,0,0,0,0,0,0
116,6,2,4,6,2,2,5,4,2,3,5,0,4,1,8,1,8,1,0,3,0,0,0,0,0,0,0
117,18,2,3,9,0,5,2,3,4,3,6,0,3,3,2,7,8,1,0,6,0,0,0,0,0,1,0
118,17,3,3,9,0,2,3,3,4,0,5,0,3,5,8,5,9,0,0,3,0,0,0,0,0,1,0
119,33,2,4,3,1,4,0,6,3,6,0,0,6,3,0,6,7,2,0,7,0,0,0,0,0,0,0
120,17,3,3,9,0,9,2,3,4,0,6,2,0,3,4,3,7,2,0,3,0,0,0,0,0,0,0
121,21,3,3,9,3,3,1,6,3,0,7,0,2,3,6,7,7,2,1,5,0,0,0,0,0,1,0
123,18,3,2,9,0,7,0,4,5,0,7,0,2,4,2,5,9,0,0,6,0,0,0,1,0,1,0
125,35,3,3,4,0,3,0,3,6,5,2,0,5,0,0,6,9,0,0,8,0,0,0,0,0,1,0
126,14,2,4,8,0,4,6,2,2,1,7,0,0,5,9,5,9,0,0,2,0,0,0,0,0,0,0
128,28,2,4,2,0,4,3,4,3,7,0,0,2,0,0,5,3,6,0,6,0,0,0,0,0,1,1
129,9,2,3,7,0,5,5,3,3,2,4,0,4,2,7,6,8,1,0,1,0,0,0,0,0,1,0
130,7,2,2,6,2,4,5,3,2,2,2,0,3,2,8,5,8,1,0,3,0,0,0,0,0,0,0
131,33,3,3,3,2,5,0,2,7,4,2,0,5,2,0,9,4,5,0,7,0,0,0,0,0,0,0
132,21,2,3,9,0,5,2,6,1,1,5,0,3,1,4,7,6,3,1,4,0,0,0,0,0,0,0
133,22,3,3,10,1,1,3,2,4,1,7,0,2,4,8,4,8,1,1,4,0,0,0,0,0,0,0
134,33,3,3,3,0,6,0,4,5,2,4,0,4,0,2,7,6,3,2,7,0,0,0,0,0,0,0
135,32,3,2,3,0,0,0,4,5,3,0,0,6,0,0,6,6,3,0,6,0,0,0,0,0,0,0
136,13,2,3,8,1,6,4,2,3,1,5,0,4,2,3,5,7,2,2,3,0,0,0,0,0,1,0
137,17,3,3,9,1,4,1,4,4,1,7,1,1,4,2,4,7,2,0,3,0,0,0,0,0,1,0
138,17,3,3,9,0,5,3,2,5,1,6,2,2,4,2,5,7,2,0,3,0,0,0,0,0,0,0
139,26,3,3,2,1,7,0,5,4,4,5,2,2,2,0,6,3,6,2,8,0,0,0,0,0,1,0
140,38,3,2,4,4,0,0,6,3,6,2,0,2,2,0,7,2,7,4,6,0,0,0,0,0,0,0
141,10,1,5,7,1,4,6,3,1,1,3,0,3,3,8,5,5,4,1,1,0,0,0,0,0,1,0
142,38,3,3,4,1,5,1,3,5,4,2,1,4,2,1,6,5,4,1,6,0,0,0,0,0,0,0
143,18,4,3,9,0,2,0,3,6,1,3,0,4,3,0,6,5,4,3,6,0,0,0,0,0,1,0
145,17,3,3,9,0,1,1,1,8,0,8,0,1,6,9,5,7,2,0,3,0,0,0,0,0,0,0
146,17,4,2,9,0,5,0,1,8,0,8,0,1,5,9,7,9,0,0,3,0,0,0,0,0,0,0
147,15,3,3,8,0,2,2,0,7,0,6,0,3,3,9,7,9,0,0,1,0,0,0,0,0,0,0
148,33,3,2,3,0,3,0,3,6,5,2,0,2,0,0,5,2,7,1,7,0,0,0,0,0,0,0
149,24,5,3,1,1,1,0,1,8,0,3,6,3,0,0,6,9,0,0,3,0,0,0,0,0,1,0
150,33,3,3,3,0,5,2,3,5,3,3,0,4,1,1,8,6,3,0,7,0,0,0,0,0,0,1
151,33,4,3,3,1,5,0,3,6,3,1,0,4,1,1,7,5,4,1,7,0,0,0,0,0,0,1
152,28,2,4,2,0,4,2,6,2,3,1,0,2,0,6,7,3,6,1,6,0,0,0,0,0,1,0
153,22,3,3,10,0,3,1,2,7,0,6,0,2,2,9,7,7,2,0,4,0,0,0,0,0,0,0
155,35,4,2,4,1,5,1,2,7,3,2,0,5,2,1,9,5,4,0,8,0,0,0,0,0,0,0
156,21,2,3,9,0,4,1,6,2,2,5,2,3,3,3,4,7,2,3,4,0,0,0,0,0,1,0
157,35,4,3,4,5,3,1,1,8,1,3,0,5,3,1,9,5,4,0,8,0,0,0,0,0,1,0
158,19,3,3,9,0,6,1,4,5,1,6,2,3,2,2,7,7,2,1,5,0,0,0,0,0,1,0
159,16,2,4,8,0,4,4,4,2,0,7,0,4,0,9,7,9,0,0,1,0,0,0,0,0,0,0
160,23,3,3,10,2,4,1,5,4,1,4,0,6,1,5,5,6,3,1,5,0,0,0,0,0,1,0
161,8,2,3,6,0,4,2,4,3,0,6,1,2,2,8,6,6,3,0,2,0,0,0,0,0,0,0
163,15,3,3,8,2,2,3,1,6,0,8,1,0,2,6,6,9,0,0,1,0,0,0,0,0,0,0
165,25,3,3,1,0,5,0,3,6,0,5,2,0,4,4,7,5,4,3,4,0,0,0,0,0,2,0
166,23,2,4,10,0,4,3,2,4,0,8,0,1,0,8,4,7,2,0,5,0,0,0,0,0,1,0
167,22,3,3,10,1,4,2,4,3,1,6,0,2,2,2,6,5,4,2,3,0,0,0,0,0,1,0
168,21,2,4,9,9,0,3,5,2,2,3,1,2,0,2,4,7,2,1,5,0,0,0,0,0,0,0
170,34,4,2,4,0,6,1,2,7,1,6,0,3,2,8,7,9,0,0,4,0,0,0,0,0,0,0
171,34,2,3,4,0,4,2,3,4,1,5,0,2,3,8,6,8,1,0,4,0,0,0,0,0,0,0
172,36,2,5,4,2,4,4,2,3,2,4,0,2,0,0,4,5,4,1,6,0,0,0,0,0,1,0
173,25,2,4,1,0,5,0,6,3,2,7,3,2,1,1,8,5,4,2,4,0,0,0,0,0,1,0
174,17,3,3,9,0,6,1,3,6,1,7,1,3,3,1,8,8,1,0,3,0,0,0,0,0,1,0
175,18,3,2,9,0,7,0,4,5,0,5,0,5,1,4,8,9,0,2,6,0,0,0,0,0,1,1
176,13,3,4,8,2,4,0,3,6,1,7,0,3,3,1,5,7,2,0,3,0,0,0,0,0,1,0
177,34,3,3,4,2,2,2,2,5,4,3,0,4,2,9,5,4,5,1,4,0,0,0,0,0,1,0
178,33,3,3,3,1,4,0,4,5,3,1,0,4,2,0,7,2,7,3,7,0,0,0,0,1,0,0
179,17,4,2,9,0,6,0,1,8,1,8,0,2,2,8,6,8,1,0,3,0,0,0,0,0,1,0
181,35,3,2,4,1,2,0,3,6,3,2,0,3,2,0,6,5,4,3,8,0,0,0,0,0,1,0
182,34,3,2,4,0,3,3,2,5,0,4,2,3,2,5,7,5,4,2,4,0,0,0,0,0,1,0
183,35,4,2,4,0,5,0,3,6,0,5,0,4,5,3,7,5,4,0,8,0,0,0,0,0,1,0
184,28,2,3,2,0,6,0,5,4,0,0,0,5,0,5,7,7,2,0,6,0,0,0,0,0,1,0
185,17,3,3,9,1,4,1,4,4,1,7,1,1,4,2,4,7,2,0,3,0,0,0,0,0,0,0
186,9,1,3,7,3,2,7,1,1,1,5,2,3,0,8,1,6,3,1,1,0,0,0,0,0,1,0
187,22,4,2,10,0,2,2,0,7,0,3,0,7,0,4,9,7,2,2,4,0,0,0,0,0,0,0
188,22,3,3,10,1,4,1,4,4,2,4,2,2,3,3,7,5,4,2,3,0,0,0,0,0,1,0
189,25,3,3,1,1,4,2,4,4,2,4,2,2,2,4,6,5,4,2,4,0,0,0,0,0,1,0
190,38,3,2,4,2,4,2,3,5,3,2,1,4,2,6,7,6,3,1,6,0,0,0,0,0,0,0
191,17,2,3,9,0,7,3,4,3,3,3,0,1,4,2,7,7,2,3,3,0,0,0,0,0,1,0
192,17,3,3,9,0,3,0,1,8,0,5,0,3,5,9,5,7,2,4,3,0,0,0,0,0,0,0
193,15,2,4,8,0,2,0,6,3,0,9,0,2,4,9,7,9,0,0,1,0,0,0,0,0,0,0
194,27,2,3,2,1,5,3,3,4,2,6,1,2,4,4,6,7,2,0,6,0,0,0,0,0,0,0
195,20,3,3,9,0,7,0,4,5,0,9,0,2,7,9,7,9,0,2,3,0,0,0,0,0,0,1
196,23,3,3,10,1,6,0,5,4,0,4,0,0,5,0,6,7,2,1,5,0,0,0,0,0,0,0
197,34,3,3,4,0,5,2,4,3,0,2,0,7,0,9,9,9,0,0,4,0,0,0,0,0,1,0
198,23,3,2,10,0,5,0,3,6,0,6,0,0,6,5,9,5,4,0,5,0,0,0,0,0,0,0
199,19,2,3,9,0,5,2,3,4,3,6,0,3,3,2,7,8,1,0,5,0,0,0,0,0,0,0
200,17,2,4,9,2,5,0,6,3,0,4,0,7,0,3,7,6,3,0,3,0,0,0,0,0,0,0
201,6,2,2,6,0,3,1,4,4,2,5,0,3,2,8,7,7,2,0,2,0,0,0,0,1,0,0
202,19,2,4,9,0,9,4,2,3,0,6,2,0,3,0,3,7,2,0,5,0,0,0,0,0,0,0
203,35,3,3,4,1,4,0,5,4,3,2,0,1,1,0,7,2,7,3,8,0,0,0,0,0,0,0
204,22,3,2,10,1,0,1,1,8,4,2,0,2,2,6,6,6,3,1,5,0,0,0,0,0,1,1
205,37,4,2,4,0,7,0,0,8,2,4,0,2,5,4,9,7,2,0,7,0,0,0,0,0,1,0
206,34,3,3,4,1,4,0,5,4,0,1,0,4,2,0,6,8,1,1,4,0,0,0,0,0,1,0
207,8,3,3,6,1,4,2,4,3,0,3,0,4,0,0,6,6,3,0,2,0,0,2,0,0,1,0
208,36,2,3,4,1,4,3,4,2,0,5,2,4,3,2,5,7,2,0,6,0,0,0,0,0,0,0
209,17,2,4,9,0,6,3,1,6,0,8,1,0,6,3,5,8,1,0,3,0,0,0,0,1,1,0
210,34,3,3,4,1,2,2,4,4,2,3,0,0,1,9,4,7,2,1,4,0,0,0,0,0,0,0
212,22,3,3,10,0,3,0,4,5,0,9,0,0,5,5,5,9,0,0,3,0,0,0,0,0,1,0
213,21,3,3,9,2,4,0,5,4,2,3,0,5,1,2,7,6,3,1,4,0,0,0,0,0,0,0
214,20,2,3,9,1,5,0,2,7,0,7,0,5,0,9,6,7,2,0,3,0,0,0,0,0,0,0
216,24,3,4,1,0,7,2,2,5,0,5,5,1,0,0,3,2,7,0,3,0,0,0,0,0,3,0
217,17,2,4,9,3,6,4,3,3,0,6,0,5,4,0,3,9,0,3,3,0,0,0,0,0,0,0
218,35,4,3,4,5,3,1,1,8,1,3,0,5,3,1,9,5,4,0,8,0,0,0,0,0,1,0
219,38,3,3,4,0,7,1,4,5,0,4,0,5,2,0,6,5,4,0,6,0,0,0,0,1,0,0
220,19,3,3,9,1,4,1,4,4,2,4,2,2,3,3,7,5,4,2,5,0,0,0,0,0,0,0
221,15,2,3,8,0,0,1,6,3,0,6,0,4,3,7,7,7,2,0,1,0,0,0,0,0,1,0
222,6,1,2,6,0,5,5,4,1,1,2,0,6,1,9,3,6,3,0,2,0,0,0,0,0,0,0
223,17,3,3,9,0,6,2,3,5,1,6,1,4,2,2,7,7,2,0,3,0,0,0,0,0,1,0
224,13,2,3,8,1,6,3,3,4,0,4,1,5,1,4,4,7,2,0,3,0,0,0,0,0,0,0
225,8,2,4,6,1,4,3,4,3,1,5,0,3,1,4,5,8,1,1,2,0,0,0,0,0,0,0
226,21,2,3,9,0,4,1,6,2,2,5,2,3,3,3,4,7,2,3,4,0,0,0,0,0,1,0
227,35,3,3,4,0,9,2,3,5,5,3,0,3,2,0,9,3,6,4,8,0,0,0,0,0,1,1
229,21,2,4,9,0,5,2,4,3,1,6,1,4,3,4,4,7,2,1,4,0,0,0,0,1,0,0
230,20,2,5,9,1,5,3,5,1,1,3,0,4,1,5,7,5,4,1,3,0,0,0,0,0,0,0
231,29,2,4,2,0,5,3,4,3,3,4,1,3,2,3,6,7,2,1,6,0,0,0,0,0,1,0
232,33,3,3,3,0,7,0,4,5,2,4,0,3,2,4,5,4,5,0,7,0,4,0,0,0,0,0
233,20,3,3,9,2,1,1,1,7,1,4,0,4,3,5,6,2,7,2,3,0,0,0,0,0,0,0
235,22,3,2,10,0,6,2,2,5,0,7,0,2,7,2,9,7,2,0,4,0,0,0,0,0,0,1
236,33,3,3,3,1,7,2,4,4,4,2,0,5,1,0,6,5,4,1,7,0,0,0,0,0,0,1
237,15,3,3,8,0,2,0,4,5,0,9,0,0,0,5,4,9,0,0,1,0,0,0,0,1,0,0
238,23,2,3,10,0,6,3,2,5,0,7,1,2,4,6,5,8,1,0,5,0,0,0,0,0,1,0
239,19,3,3,9,0,4,2,2,6,0,5,0,4,4,1,6,8,1,4,5,0,0,0,0,0,0,0
240,33,4,3,3,2,5,0,2,7,4,2,0,5,2,1,8,6,3,3,7,0,0,0,0,0,1,0
241,33,3,3,3,2,4,2,3,4,3,3,0,4,1,3,6,6,3,2,7,0,0,0,0,0,1,0
242,35,3,3,4,0,4,2,4,4,4,3,0,4,1,6,6,3,6,2,8,0,0,0,0,0,1,0
243,24,3,3,1,0,3,0,4,5,0,9,6,0,3,0,7,7,2,0,3,0,0,0,0,0,0,0
244,19,2,4,9,2,5,2,5,3,1,4,0,3,3,8,8,4,5,0,5,0,0,0,0,0,0,0
245,23,5,2,10,1,5,0,0,9,0,5,0,6,3,2,6,6,3,0,5,0,0,0,0,0,1,0
246,22,2,1,10,2,5,0,6,3,5,2,0,3,4,0,7,4,5,2,4,0,2,0,0,0,1,0
248,17,3,3,9,0,7,0,4,5,0,9,0,2,7,9,7,9,0,2,3,0,0,0,0,1,0,0
249,17,2,3,9,0,7,0,5,4,0,6,0,2,5,0,4,6,3,0,3,0,0,0,0,0,0,1
250,22,4,3,10,1,4,0,2,7,2,7,0,2,0,6,6,5,4,0,3,0,0,0,0,0,1,0
251,23,3,3,10,0,5,3,2,5,1,6,1,2,3,5,5,7,2,1,5,0,0,0,0,0,0,0
252,27,3,3,2,0,2,0,4,5,2,2,0,2,0,9,5,2,7,2,6,0,0,0,0,0,0,0
253,41,2,2,5,0,3,2,6,1,6,3,0,3,2,7,7,4,5,1,1,0,0,0,0,0,1,0
254,22,3,2,10,2,2,1,1,8,3,5,0,5,1,4,7,7,2,1,4,0,0,0,1,0,0,1
255,20,2,3,9,1,5,3,4,3,0,6,0,4,2,4,7,9,0,0,3,0,0,0,0,0,1,0
257,7,1,1,6,0,5,6,2,1,1,1,0,4,1,8,3,8,1,0,3,0,0,0,0,0,1,0
258,16,2,3,8,0,5,3,3,3,0,8,0,4,0,9,7,9,0,0,1,0,4,0,0,0,1,0
259,21,2,4,9,9,0,3,5,2,2,3,1,2,0,2,4,7,2,1,5,0,0,0,0,0,1,0
260,17,3,3,9,1,4,2,3,4,1,5,1,2,3,4,6,7,2,1,3,0,0,0,0,0,1,0
261,36,2,3,4,0,0,2,5,2,2,4,3,0,0,2,7,6,3,4,6,0,0,0,0,0,0,0
262,35,3,2,4,0,4,0,5,4,3,2,0,2,0,0,5,0,9,0,8,0,0,0,0,0,0,0
264,27,2,4,2,0,5,2,5,3,0,9,0,2,7,5,9,9,0,0,6,0,0,0,0,0,1,0
265,6,2,3,6,1,5,5,3,2,1,5,0,4,4,7,4,6,3,3,3,0,0,0,0,0,1,0
266,34,3,2,4,0,4,1,2,7,0,7,0,2,4,6,7,9,0,0,4,0,0,0,0,0,1,0
